 ,medicineName,manufacturer,saltComposition,packaging,price,storage,overview,usesBenefits,sideEffects,howToUse,drugWorks,safetyAdvice,missedDose,quickTips,interactionDrugs,patientConcerns,userFeedback,faqs,createdAt,updatedAt
1,Azithral 500 Tablet,Alembic Pharmaceuticals Ltd,Azithromycin (500mg),5.0 tablets in 1 strip,118.11,Store below 30?,"Azithral 500 Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever.",Treatment of Bacterial infections,"Nausea, Abdominal pain, Diarrhea","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Azithral 500 Tablet may be taken with or without food, but it is better to take it at a fixed time.","Azithral 500 Tablet is an antibiotic. It works by preventing synthesis of essential proteins required by bacteria to carry out vital functions. Thus, it stops the bacteria from growing, and prevents the infection from spreading.",It is unsafe to consume alcohol with Azithral 500 Tablet. Azithral 500 Tablet should be used with caution in patients with liver disease. Dose adjustment of Azithral 500 Tablet may be needed. Please consult your doctor. Azithral 500 Tablet should be used with caution in patients with severe kidney disease. Dose adjustment of Azithral 500 Tablet may be needed.,"If you miss a dose of Azithral 500 Tablet, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular schedule. Do not double the dose.",Do not skip any doses and finish the full course of treatment even if you feel better. Stopping it early may make the infection to come back and harder to treat. Take it 1 hour before or two hours after food. Do not take antacids 2 hours before or after taking Azithral 500 Tablet.,"Taking Azithral with any of the following medicines can modify the effect of either of them and cause some undesirable side effects such as Astemizole, Disopyramide, Ebastine, Lovastatin",,,,,
2,Benadryl Syrup,JNTL Consumer Health (India) Pvt. Ltd.,Diphenhydramine (14.08mg/5ml) + Ammonium Chloride (138mg/5ml) + Sodium Citrate (57.03mg/5ml),150.0 ml in 1 bottle,138.57,Store below 30?,"Benadryl Syrup is used in the treatment of cough. It relieves allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes, and congestion or stuffiness. It also thins mucus in the nose, windpipe, and lungs, making it easier to cough out.",Treatment of Cough,"Stomach pain/epigastric pain, Sleepiness, Thickened respiratory tract secretions, Allergic reaction","Take this medicine in the dose and duration as advised by your doctor. Check the label for directions before use. Measure it with a measuring cup and take it by mouth. Shake well before use. Benadryl Syrup may be taken with or without food, but it is better to take it at a fixed time.","Benadryl Cough Formula Syrup is a combination of Diphenhydramine, Ammonium Chloride, and Sodium Citrate. Diphenhydramine works by blocking the action of histamine, a chemical substance in your body responsible for allergic symptoms.","It is unsafe to consume alcohol with Benadryl Syrup. Benadryl Syrup is highly unsafe to use during pregnancy. Seek your doctor's advice as studies on pregnant women and animals have shown significant harmful effects to the developing baby. Benadryl Syrup is unsafe to use during breastfeeding. Data suggests that the drug may cause toxicity to the baby. Benadryl Syrup may decrease alertness, affect your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.","If you miss a dose of Benadryl Syrup, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular schedule. Do not double the dose.",Benadryl Syrup helps relieve cough that is accompanied with mucus. Drink extra fluids to help loosen the congestion and lubricate your throat while you are taking this medication. It may cause dizziness and sleepiness. Do not drive or do anything that requires mental focus until you know how it affects you.,vomiting,,,,,
3,Calpol 500mg Tablet,Glaxo SmithKline Pharmaceuticals Ltd,Paracetamol (500mg),15.0 tablets in 1 strip,15.53,Store below 25?,"Calpol 500mg Tablet helps relieve pain and fever by blocking the release of certain chemical messengers responsible for fever and pain. It is used to treat headaches, migraine, toothaches, sore throats, period (menstrual) pains, arthritis, muscle aches, and the common cold.",treating aches and pains,"Stomach pain, Nausea, Vomiting","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Calpol 500mg Tablet is to be taken with food.",Calpol 500mg Tablet is an analgesic (pain reliever) and anti-pyretic (fever reducer). It works by blocking the release of certain chemical messengers that cause pain and fever.,It is unsafe to consume alcohol with Calpol 500mg Tablet. Calpol 500mg Tablet may be unsafe to use during pregnancy. Calpol 500mg Tablet is safe to use during breastfeeding. Human studies suggest that the drug does not pass into the breastmilk in a significant amount and is not harmful to the baby.,"If you miss a dose of Calpol 500mg Tablet, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular schedule. Do not double the dose.","Calpol 500mg Tablet should be taken with food or milk to prevent an upset stomach.
Take it as per the dose and duration prescribed by your doctor. Long-term use may lead to serious complications such as stomach bleeding and kidney problems.
Do not take indigestion remedies (antacids) within two hours of taking Calpol 500mg Tablet.","Taking Calpol with any of the following medicines can modify the effect of either of them and cause some undesirable side effects such as Nimesulide, Oxyphenbutazone, Metamizole",,,,,
4,Norflox-TZ RF Tablet,Cipla Ltd,Norfloxacin (400mg) + Tinidazole (600mg),10.0 tablets in 1 strip,94.86,Store below 30?,Norflox-TZ RF Tablet is a combination of two antibiotics that effectively treat diarrhea and dysentery. It kills the microorganisms to treat the infection.,In Treatment of Diarrhea,"Nausea, Dryness in mouth, Metallic taste, Headache","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Norflox-TZ RF Tablet is to be taken with food.","Norflox-TZ RF Tablet is a combination of two antibiotics: Norfloxacin and Tinidazole. Norfloxacin works by preventing the bacterial cells from dividing and repairing, thereby killing the bacteria. Tinidazole kills parasites and anaerobic bacteria that cause infections by damaging their DNA. Together, they treat your infection effectively.","Consuming alcohol while taking Norflox-TZ RF Tablet may cause symptoms such as flushing, increased heart beat, nausea, thirst, chest pain and low blood pressure (Disulfiram reaction). Norflox-TZ RF Tablet may cause side effects which could affect your ability to drive.
Norflox-TZ RF Tablet may make you feel drowsy or gives you problems with coordination or sensation (e.g. numbness or weakness). This may affect your driving ability.","If you miss a dose of Norflox-TZ RF Tablet, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular schedule. Do not double the dose.","Your doctor has prescribed this combination medicine for the treatment of diarrhea and dysentery.
Diarrhea can cause dehydration. Drink plenty of fluids to help rehydrate you.",,,,,,
5,Solvin Cold Tablet,Ipca Laboratories Ltd,Chlorpheniramine Maleate (2mg) + Paracetamol (500mg) + Phenylephrine (10mg),10.0 tablets in 1 strip,50.5,Store below 30?,"Solvin Cold Tablet is a medicine used in the treatment of common cold symptoms. It provides relief from symptoms such as headache, sore throat, runny nose, muscular pain, and fever.",In Treatment of Common cold,"Nausea, Headache, Insomnia (difficulty in sleeping), Dizziness, Tachycardia, Palpitations, Fear, Anxiety","Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Solvin Cold Tablet may be taken with or without food, but it is better to take it at a fixed time.","Solvin Cold Tablet is a combination medicine that effectively?elieves symptoms of common cold such as blocked nose, runny nose, watery eyes, sneezing, and congestion or stuffiness. It helps to loosen thick mucus, making it easier to cough out. This makes it easier for air to move in and out.","It is unsafe to consume alcohol with Solvin Cold Tablet. Solvin Cold Tablet may decrease alertness, affect your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.","If you miss a dose of Solvin Cold Tablet, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular schedule. Do not double the dose.","Solvin Cold Tablet helps relieve symptoms of cold and flu such as headache, sore throat, runny nose, muscular pain, and fever.
It may cause dizziness and sleepiness. Don't drive or do anything that requires mental focus until you know how it affects you.",,,,,,
